player,hands,all-in_adj_bb,all-in_adj_bb_100,my_c_all-in_adj,vpip,pfr,call_any_pfr,3bet_pf,fold_to_3bet,4bet_pf,fold_to_4bet+,limp,total_af,cbet_f,cbet_t,cbet_r,fold_to_f_cbet,fold_to_t_cbet,fold_to_r_cbet,xr_flop,xr_turn,xr_river,fold_to_f_xr,fold_to_t_xr,fold_to_r_xr
purrrt,1195,873.76,73.12,218.44,26.32,21.03,13.42,9.13,81.93,4.94,58.33,0.47,1.87,57.65,52.0,71.43,33.33,55.56,33.33,17.39,0.0,0.0,33.33,50.0,50.0
BB265920,1194,-1052.2,-88.12,-263.05,77.05,7.6,69.71,4.98,68.89,2.35,64.71,74.06,1.19,50.0,53.85,0.0,44.15,71.6,20.0,0.48,0.99,0.0,25.0,100.0,100.0
karol4102,1193,-259.56,-21.76,-64.89,24.2,20.64,10.07,10.66,79.57,3.3,75.0,0.62,2.15,50.0,47.83,60.0,53.85,60.0,100.0,0.0,0.0,0.0,0.0,42.11,50.0
el turco 118,1192,-530.76,-44.53,-132.69,29.22,16.47,23.67,8.66,75.27,2.22,87.5,6.71,3.87,57.97,57.14,16.67,53.23,33.33,66.67,10.0,15.0,0.0,66.67,50.0,50.0
Tomalak2Pi,1191,247.12,20.75,61.78,25.45,18.89,18.22,9.26,68.97,9.76,33.33,0.15,1.25,51.22,53.33,100.0,18.87,33.33,28.57,15.22,13.04,0.0,50.0,66.67,100.0
Ares656,1191,-320.28,-26.89,-80.07,25.34,21.83,9.79,11.59,76.62,10.39,76.92,0.15,1.98,56.32,23.81,100.0,48.15,25.0,100.0,5.56,5.88,0.0,100.0,50.0,50.0
KINGHIGH1213,1190,-722.36,-60.7,-180.59,46.91,5.32,50.0,3.84,63.64,3.66,42.86,44.72,3.05,84.21,100.0,87.5,43.05,48.65,40.0,4.12,0.0,0.0,66.67,100.0,50.0
RisingPoker$tar,1189,-61.04,-5.13,-15.26,23.96,16.68,18.26,6.89,66.3,11.36,66.67,0.79,1.64,62.5,33.33,66.67,44.0,47.37,50.0,8.16,19.35,5.0,50.0,100.0,50.0
GraemeDR,1187,-204.84,-17.26,-51.21,24.5,21.19,12.91,16.51,60.87,1.52,35.71,0.15,4.09,78.02,50.0,60.0,36.67,0.0,0.0,23.08,11.11,12.5,0.0,50.0,50.0
ñaña 76,1183,-148.88,-12.58,-37.22,21.45,16.04,15.23,5.35,73.77,5.0,55.56,0.15,1.56,58.23,52.38,33.33,37.21,41.18,47.36400357462019,2.27,14.81,5.56,33.33,0.0,50.0
OPFProla,1183,-358.64,-30.32,-89.66,33.91,21.71,28.65,10.15,60.42,7.95,28.57,2.04,1.71,53.61,55.0,66.67,40.24,35.29,33.33,19.72,10.81,21.05,20.0,33.33,0.0
csworth2608,1182,-423.2,-35.8,-105.8,24.65,12.02,18.47,10.47,85.29,3.03,50.0,16.04,3.25,59.32,63.64,100.0,26.83,40.0,0.0,10.34,18.75,25.0,0.0,100.0,25.0
Nikolai.H31,1180,-319.68,-27.09,-79.92,34.03,16.32,36.91,3.88,62.14,7.0,55.56,5.34,1.76,55.88,81.25,60.0,40.2,46.43,33.33,3.75,4.44,14.29,40.0,33.33,50.0
sergiopaok87,1179,-350.48,-29.73,-87.62,48.25,12.78,50.54,4.1,56.07,3.03,54.55,30.96,0.89,34.62,66.67,25.0,38.32,45.45,58.33,3.05,4.92,0.0,0.0,0.0,50.0
ashliski,1178,-17.12,-1.45,-4.28,23.72,16.7,17.36,7.28,77.94,7.46,75.0,1.17,2.07,77.63,68.0,50.0,40.38,50.0,47.36400357462019,11.63,13.33,0.0,42.86,100.0,0.0
lol manager,1176,359.36,30.56,89.84,19.81,16.33,10.27,7.42,80.95,5.0,41.67,0.74,1.6,42.19,54.55,50.0,60.87,25.0,33.33,3.45,16.67,0.0,100.0,42.11,50.0
kolaskaFF,1176,96.76,8.23,24.19,22.55,18.47,11.0,7.33,81.48,6.33,83.33,0.15,2.21,27.78,50.0,50.0,47.06,40.0,0.0,28.13,7.14,14.29,33.33,42.11,50.0
MamSBLUFF,1175,-30.96,-2.63,-7.74,22.71,16.55,13.52,7.52,79.52,6.33,66.67,2.71,2.4,46.27,23.08,0.0,35.29,20.0,0.0,15.63,28.57,0.0,0.0,50.0,50.0
Amardinho11,1174,547.0,46.59,136.75,53.99,18.61,43.48,6.0,65.05,6.38,66.67,32.39,2.82,64.38,25.0,0.0,43.59,53.33,100.0,5.88,0.0,0.0,33.33,25.0,50.0
riitta101,1170,-386.4,-33.03,-96.6,59.55,22.08,53.38,1.85,50.0,0.0,72.73,26.71,1.29,40.21,55.0,100.0,23.56,37.93,33.33,6.92,2.74,2.44,8.33,25.0,0.0
Jasi31,1169,-279.48,-23.91,-69.87,39.03,11.63,40.45,6.42,68.66,0.0,63.64,23.45,1.34,56.1,46.15,50.0,49.61,54.17,83.33,5.95,0.0,8.33,12.5,50.0,0.0
samurai0011,1168,-616.2,-52.76,-154.05,29.37,19.63,22.72,9.5,64.37,4.94,30.77,1.33,2.63,62.96,56.0,25.0,24.49,46.67,66.67,10.34,10.53,22.22,0.0,50.0,0.0
23pilot23,1168,-22.96,-1.97,-5.74,18.97,11.2,17.3,1.66,86.49,1.41,71.43,1.98,1.42,69.39,20.0,50.0,36.36,40.0,0.0,4.88,5.56,0.0,0.0,66.67,50.0
ALISP94,1165,-464.12,-39.84,-116.03,25.58,15.34,26.85,3.59,53.41,9.76,57.14,0.47,1.18,65.0,40.0,50.0,34.25,31.82,75.0,4.92,13.64,4.76,50.0,42.11,50.0
Cashyjohnn,1160,-272.08,-23.46,-68.02,28.62,19.84,24.54,7.13,60.81,1.37,50.0,1.35,2.27,70.65,48.48,42.86,33.33,55.56,75.0,8.2,4.0,0.0,0.0,42.11,50.0
SingeLunaire,1157,-510.28,-44.1,-127.57,68.71,2.63,53.63,2.08,72.0,1.41,50.0,79.32,1.4,29.41,75.0,66.67,57.04,68.97,33.33,0.0,6.25,4.76,33.33,0.0,0.0
saimon 945,1156,218.16,18.87,54.54,42.87,19.61,44.22,11.4,47.25,2.3,62.5,14.54,1.18,56.0,60.0,66.67,36.49,32.5,58.33,8.93,5.88,0.0,0.0,0.0,50.0
Jonny_Eire,1154,-811.04,-70.28,-202.76,52.53,6.92,51.14,1.94,67.42,1.14,33.33,47.6,0.6,35.29,16.67,0.0,42.86,43.4,75.0,1.21,0.0,0.0,0.0,0.0,50.0
Collie95DM,1153,100.32,8.7,25.08,25.75,19.2,17.06,10.09,67.69,13.33,55.56,0.31,1.49,75.64,51.61,20.0,39.66,21.05,0.0,3.57,16.67,6.67,20.0,42.11,50.0
Gushteru20,1145,-251.76,-21.99,-62.94,21.91,17.91,9.61,13.48,82.86,11.76,58.33,0.79,3.56,52.56,56.52,40.0,50.0,33.33,0.0,13.79,9.09,0.0,40.0,50.0,50.0
