player,hands,all-in_adj_bb,all-in_adj_bb_100,my_c_all-in_adj,vpip,pfr,call_any_pfr,3bet_pf,fold_to_3bet,4bet_pf,fold_to_4bet+,limp,total_af,cbet_f,cbet_t,cbet_r,fold_to_f_cbet,fold_to_t_cbet,fold_to_r_cbet,xr_flop,xr_turn,xr_river,fold_to_f_xr,fold_to_t_xr,fold_to_r_xr
ChatoMario25,13308,1867.28,14.03,466.82,24.96,21.98,8.99,10.4,77.44,8.67,63.87,0.07,3.1,69.13,40.98,73.97,44.0,48.44,30.0,15.12,7.51,4.65,40.3,52.38,62.5
Metranos,13223,912.56,6.9,228.14,25.33,20.32,12.08,8.03,81.62,4.44,68.22,1.13,2.47,57.08,37.41,58.33,47.31,56.0,71.43,13.9,5.0,2.83,48.94,25.0,16.67
stars_scenery99,12977,-1371.8,-10.57,-342.95,24.32,21.19,9.15,11.24,77.23,9.3,64.23,0.26,2.2,59.7,37.79,57.14,44.3,43.37,26.32,7.49,3.08,5.68,46.0,25.0,33.33
NoLove93,12961,-1648.08,-12.72,-412.02,23.13,19.2,10.98,9.28,78.44,8.41,63.57,0.11,2.44,62.59,52.27,44.83,44.91,58.11,54.55,10.19,4.57,3.23,39.47,72.22,50.0
x3ultimate,12958,221.56,1.71,55.39,18.29,15.4,7.4,7.16,84.12,5.49,67.14,0.5,3.44,61.87,57.87,58.49,52.55,35.85,71.43,8.85,5.76,0.0,57.89,33.33,100.0
gadew13,12874,666.88,5.18,166.72,22.52,18.65,10.87,7.12,75.39,9.53,61.7,0.16,2.24,61.27,54.51,63.75,34.97,36.17,64.0,9.8,8.19,5.56,36.17,43.75,62.5
hyroman,12851,279.88,2.18,69.97,21.03,17.53,10.1,8.02,75.7,7.81,61.39,0.43,1.94,57.76,41.67,51.28,46.11,38.1,33.33,8.47,4.68,5.49,48.72,30.0,0.0
Delaverty,12844,72.16,0.56,18.04,21.64,16.57,12.8,8.13,76.22,6.66,52.48,0.71,1.55,58.4,65.7,67.27,33.73,45.45,57.58,7.29,5.86,5.48,42.11,70.0,0.0
DryF7,12758,-937.08,-7.35,-234.27,23.69,18.81,12.28,9.2,79.51,8.47,61.95,0.19,2.22,63.22,55.34,43.33,33.75,60.55,53.33,8.92,16.96,4.5,34.15,28.57,33.33
ScanStone,12727,1094.64,8.6,273.66,23.24,19.59,10.11,8.74,75.97,10.53,50.0,0.29,1.66,50.18,42.79,48.72,43.28,24.71,50.0,9.34,6.84,7.07,46.34,45.45,50.0
Prigaty,12718,-325.32,-2.56,-81.33,23.43,17.93,14.49,7.72,72.44,7.38,53.68,0.58,2.17,52.32,64.52,37.18,51.67,32.04,48.28,11.63,14.14,2.91,29.03,7.69,60.0
Danzzzu,12665,934.16,7.38,233.54,25.97,20.13,15.11,9.95,77.14,5.36,57.72,0.75,1.99,66.27,60.57,46.75,40.46,52.25,31.82,9.82,5.45,5.76,34.15,50.0,100.0
mind.in.aBox,12617,479.52,3.8,119.88,19.43,16.05,8.65,6.69,84.23,5.31,76.39,0.38,2.08,53.22,46.3,46.15,53.63,51.02,27.27,3.56,5.52,7.45,34.21,50.0,25.0
PereCanada,12453,-1388.6,-11.15,-347.15,23.72,17.68,15.1,9.84,73.73,10.9,57.76,0.52,2.27,74.33,29.39,45.95,35.8,46.81,23.53,18.71,10.98,1.83,48.65,55.56,50.0
Pescador1202,12400,1154.72,9.31,288.68,23.28,19.93,10.28,9.64,75.72,7.6,74.11,0.03,2.88,68.98,40.4,62.3,47.25,44.07,55.56,15.89,9.15,2.41,52.11,64.71,100.0
KEKW888,12233,572.44,4.68,143.11,22.23,16.84,14.79,8.66,74.61,5.69,52.33,0.02,1.86,65.73,47.39,55.36,46.41,50.0,42.86,8.78,5.8,7.55,22.86,35.29,50.0
naxoes21,12229,454.6,3.72,113.65,25.38,22.25,8.77,11.19,79.11,8.73,68.94,0.11,2.63,71.74,47.9,48.33,42.81,53.75,50.0,10.26,2.21,5.13,46.3,63.16,100.0
Fe_eLGo_oDGG,12212,573.8,4.7,143.45,26.36,21.53,12.87,9.67,74.38,6.82,57.94,1.03,2.37,57.61,61.57,58.82,46.56,38.46,40.0,7.97,5.37,1.79,18.6,22.22,50.0
Paco19bn,12197,419.84,3.44,104.96,25.32,21.05,12.1,9.81,72.95,8.71,53.47,0.71,2.11,54.37,61.3,57.14,44.01,48.19,52.94,10.69,5.71,11.4,35.42,38.46,0.0
thedelgado,12196,1548.16,12.69,387.04,26.6,20.78,14.7,8.79,74.37,6.95,68.7,1.17,2.18,76.01,50.9,57.14,49.53,42.86,50.0,5.66,3.45,2.07,47.76,37.5,100.0
Liopsass,12193,597.84,4.9,149.46,26.08,23.05,8.78,9.9,78.38,11.59,64.66,0.01,3.06,79.19,52.08,82.95,37.55,48.48,41.18,19.31,4.27,5.33,53.61,68.75,50.0
