player,hands,all-in_adj_bb,all-in_adj_bb_100,my_c_all-in_adj,vpip,pfr,call_any_pfr,3bet_pf,fold_to_3bet,4bet_pf,fold_to_4bet+,limp,total_af,cbet_f,cbet_t,cbet_r,fold_to_f_cbet,fold_to_t_cbet,fold_to_r_cbet,xr_flop,xr_turn,xr_river,fold_to_f_xr,fold_to_t_xr,fold_to_r_xr
LuckEvans22,3410,457.28,13.41,114.32,18.81,14.9,9.97,7.56,79.47,8.47,52.63,0.27,1.46,45.14,38.1,100.0,43.53,37.5,50.0,12.36,8.0,14.29,33.33,100.0,0.0
Montrezzor,3402,231.2,6.8,57.8,21.53,18.95,6.98,7.43,81.03,11.42,66.67,0.15,2.51,73.96,42.11,68.75,41.51,38.89,25.0,5.56,15.22,18.52,38.46,,50.0
Chodemuncher,3398,295.24,8.69,73.81,21.2,16.51,12.34,7.13,75.47,4.81,65.22,0.65,1.3,43.06,33.33,33.33,51.52,37.93,28.57,1.67,4.17,8.0,50.0,100.0,0.0
pokerfouf,3385,-314.48,-9.29,-78.62,27.86,17.83,23.99,6.09,75.21,5.17,57.89,1.06,1.6,46.51,55.1,56.25,54.24,50.0,75.0,4.22,2.91,4.76,22.22,0.0,0.0
Pangwe21,3365,-268.0,-7.96,-67.0,33.22,10.42,32.38,4.31,75.91,1.89,60.0,19.43,2.65,69.75,53.85,69.23,45.52,49.02,28.57,12.23,10.23,0.0,50.0,28.57,0.0
A1bertakid,3345,47.28,1.41,11.82,25.46,21.96,11.02,8.37,70.67,6.88,66.67,0.11,2.19,43.06,54.1,37.5,44.21,42.86,40.0,14.05,7.32,0.0,45.45,0.0,0.0
Valicium,3344,-117.52,-3.51,-29.38,23.91,20.57,8.84,10.56,77.36,10.63,66.67,0.05,2.64,77.34,45.87,77.27,42.37,30.77,0.0,5.0,7.32,0.0,50.0,33.33,66.67
MoNsTeRserg,3342,60.32,1.8,15.08,23.69,20.18,10.59,9.38,80.09,4.5,77.78,0.11,2.84,56.8,41.27,44.44,47.06,56.25,100.0,7.53,7.14,0.0,60.0,0.0,50.0
Linksiss231,3339,18.72,0.56,4.68,16.02,9.39,14.59,3.59,77.6,1.69,61.54,1.89,2.19,50.91,68.0,83.33,52.73,52.38,,7.61,12.9,7.14,25.0,71.43,
Crobaraba,3339,-536.64,-16.07,-134.16,27.42,15.19,23.47,5.36,69.82,2.38,65.0,6.01,2.32,88.18,34.57,15.38,36.14,59.65,50.0,8.42,7.78,2.22,29.41,0.0,0.0
00Delphi,3332,-275.72,-8.27,-68.93,26.34,18.56,19.93,7.4,73.66,5.18,56.52,0.44,1.66,52.44,46.15,80.0,42.58,50.0,85.71,7.5,6.17,3.03,42.86,50.0,50.0
ssabase2,3332,-28.8,-0.86,-7.2,37.51,25.68,27.53,10.87,66.26,12.82,65.0,1.08,2.1,57.14,59.21,48.0,37.04,39.22,63.64,15.98,13.13,5.45,25.0,80.0,
bhoficial10,3319,-1174.56,-35.39,-293.64,41.0,12.73,41.33,6.27,66.03,6.28,25.93,24.86,1.37,52.9,62.96,42.86,34.5,30.21,40.74,7.77,3.97,7.35,41.67,10.0,
Danielw8888,3311,-172.16,-5.2,-43.04,22.2,15.94,14.42,7.98,78.13,4.61,71.43,1.07,3.21,65.28,56.16,31.58,50.0,68.0,50.0,10.34,7.27,9.52,66.67,66.67,
Dostavu4uy,3270,-260.32,-7.96,-65.08,24.36,21.11,9.79,8.44,76.11,8.55,68.57,0.11,3.17,78.8,52.63,44.44,41.43,50.0,100.0,12.0,10.64,0.0,41.67,63.64,0.0
prabakatan,3251,-448.12,-13.78,-112.03,30.27,20.49,25.05,7.33,67.59,5.18,65.0,0.34,1.83,69.32,65.56,37.93,39.33,51.06,37.5,3.4,0.0,2.56,26.67,25.0,
HollowKnight92,3244,-190.28,-5.87,-47.57,20.13,15.44,10.69,5.36,84.04,7.73,73.91,0.68,2.27,77.32,76.71,56.0,30.48,37.84,63.64,1.01,2.38,0.0,30.77,50.0,
IrbySS,3223,-397.16,-12.32,-99.29,16.15,13.42,6.76,3.73,88.24,9.44,23.08,0.17,3.42,71.15,65.63,76.92,47.5,0.0,50.0,5.45,14.29,0.0,0.0,100.0,
sormicek,3205,-307.68,-9.6,-76.92,27.33,14.53,27.56,4.35,65.43,1.24,81.82,4.14,1.54,78.61,50.77,38.89,35.71,45.71,33.33,7.33,4.17,0.0,25.0,25.0,100.0
1elmuchacho1,3204,-645.44,-20.14,-161.36,23.97,18.29,15.16,7.44,75.7,5.8,57.89,1.04,1.18,66.33,47.54,6.67,45.54,17.86,70.0,7.76,0.0,10.26,50.0,0.0,
SWPC,3198,-205.12,-6.41,-51.28,34.27,24.35,25.18,10.83,60.46,5.95,63.41,0.47,1.98,71.29,57.48,54.55,52.97,25.58,7.14,9.94,6.98,10.34,30.77,0.0,
Mazoltov_420,3169,167.92,5.3,41.98,22.45,14.26,15.18,6.57,85.49,4.76,77.78,4.12,2.15,52.8,36.36,100.0,51.82,26.67,16.67,14.29,2.44,0.0,66.67,,
martoRS,3148,-527.68,-16.76,-131.92,34.99,23.44,31.33,8.37,52.0,3.31,62.07,0.06,1.8,49.84,70.83,53.33,37.89,56.06,63.64,6.73,3.06,3.33,41.67,60.0,0.0
JordiVieira,3140,-247.24,-7.87,-61.81,23.34,19.69,10.02,10.44,77.18,8.21,73.08,0.06,2.61,58.94,55.56,44.44,42.7,47.06,50.0,18.75,11.9,4.17,100.0,50.0,
grantd3nz,3137,-728.56,-23.22,-182.14,34.37,24.48,25.62,9.17,63.98,7.56,50.0,0.98,4.16,73.6,66.15,50.0,58.38,70.83,66.67,9.76,8.0,0.0,25.0,50.0,100.0
Chaika27,3113,-360.52,-11.58,-90.13,30.12,20.82,22.21,7.95,76.92,9.39,55.56,0.41,1.61,60.38,62.16,27.59,43.58,52.5,50.0,5.23,12.5,2.13,16.67,66.67,0.0
Calypso_Blue,3101,168.72,5.44,42.18,18.83,16.49,5.78,8.08,88.4,6.15,78.95,0.06,2.02,46.29,56.76,66.67,43.18,71.43,0.0,4.48,4.44,0.0,71.43,0.0,
Formiidable,3079,-546.24,-17.74,-136.56,20.51,17.53,7.57,7.04,87.85,4.31,95.0,0.0,3.02,72.32,46.67,53.33,53.33,71.43,33.33,12.66,15.38,0.0,60.0,50.0,
ReGis245,3074,-116.08,-3.78,-29.02,23.17,19.94,9.26,9.41,77.63,5.53,69.57,0.48,1.86,62.43,50.79,66.67,41.33,50.0,75.0,10.47,4.35,0.0,57.14,66.67,33.33
Pseudoreality95,3047,-2392.96,-78.53,-598.24,59.15,39.85,43.82,19.97,49.52,8.23,61.18,0.68,2.89,50.46,54.17,50.0,26.74,37.29,22.22,9.94,14.71,5.0,25.0,36.36,50.0
Party Fishy,3041,358.8,11.8,89.7,24.45,19.65,12.9,7.23,76.53,5.71,58.82,0.67,2.52,65.91,45.45,27.27,41.98,50.0,66.67,6.98,6.56,0.0,36.36,,100.0
Sharky Hat,3023,305.8,10.12,76.45,26.09,19.1,16.83,10.07,72.57,9.52,46.43,1.41,1.96,60.87,47.83,50.0,44.8,43.33,28.57,5.66,5.13,0.0,36.36,0.0,
Cradu11,3015,723.92,24.01,180.98,23.29,18.42,11.32,7.19,76.29,7.59,68.42,1.16,1.78,60.38,48.33,62.5,30.14,20.0,33.33,10.2,10.91,10.34,66.67,0.0,0.0
FSMT,3008,-349.32,-11.61,-87.33,24.43,20.69,10.24,9.26,83.62,5.7,60.0,0.24,2.2,65.0,54.84,44.44,38.96,47.62,25.0,8.05,17.65,3.57,41.18,50.0,50.0
Kartman3329,3005,-433.28,-14.42,-108.32,25.67,5.93,25.67,2.55,92.19,1.66,73.33,18.99,2.97,58.18,83.33,0.0,54.08,63.64,28.57,12.37,8.16,17.14,66.67,71.43,
BaikalFish,2999,-387.16,-12.91,-96.79,26.98,16.13,16.1,5.32,85.07,4.67,90.0,8.42,2.78,55.56,34.78,33.33,36.08,45.0,50.0,16.52,8.51,0.0,77.78,100.0,
Toce78,2991,572.68,19.15,143.17,32.22,23.53,21.34,10.86,62.4,9.69,72.73,2.05,2.1,56.56,60.0,80.0,32.65,36.36,20.0,18.18,11.11,3.57,22.22,40.0,0.0
C0methDust,2985,-324.28,-10.86,-81.07,31.38,18.72,30.08,5.74,66.54,2.82,68.42,0.81,1.43,44.75,55.81,56.25,50.0,65.12,50.0,0.0,0.0,0.0,30.0,50.0,0.0
EccoClown,2973,-49.08,-1.65,-12.27,33.22,19.15,25.89,6.57,70.11,9.96,53.85,6.51,3.51,70.0,37.5,50.0,58.62,45.0,0.0,2.92,5.71,10.53,50.0,40.0,
Rotanes88,2965,-856.92,-28.9,-214.23,34.95,24.92,24.54,16.01,58.29,18.13,51.43,1.65,2.5,78.19,52.05,50.0,23.18,28.57,58.33,16.96,19.67,9.38,16.67,75.0,100.0
M.Tikhonov,2956,29.4,0.99,7.35,23.98,19.92,11.12,9.7,74.4,13.4,63.33,0.12,1.99,60.71,32.79,75.0,47.56,14.29,33.33,6.52,7.41,3.57,22.22,50.0,0.0
awlos33,2956,405.96,13.73,101.49,25.82,21.92,10.47,7.92,84.91,4.35,66.67,0.42,1.46,41.59,51.72,33.33,27.71,38.46,75.0,14.14,12.0,0.0,40.0,0.0,100.0
Xydou88,2953,-511.0,-17.3,-127.75,26.23,20.59,16.95,10.78,61.32,11.22,55.17,0.19,2.35,60.93,56.58,33.33,45.45,46.15,100.0,9.01,12.5,4.0,37.5,60.0,
ivo_8310,2944,-1196.72,-40.65,-299.18,38.31,21.2,38.62,2.62,55.74,4.36,50.0,3.43,0.92,27.04,66.67,62.5,34.11,35.05,28.57,2.93,0.84,2.38,0.0,28.57,0.0
abrm20,2943,93.08,3.16,23.27,20.33,13.47,15.69,3.62,80.33,6.15,66.67,1.06,1.33,65.85,45.65,54.55,30.56,41.18,20.0,4.0,6.25,0.0,40.0,50.0,0.0
Fuzetsu,2941,-558.72,-19.0,-139.68,28.3,22.85,14.3,10.06,77.18,5.47,79.41,0.0,2.41,55.92,59.77,59.26,32.2,51.52,80.0,11.01,11.76,5.88,36.36,33.33,100.0
TayrelVelik,2941,119.4,4.06,29.85,18.86,16.15,7.01,9.33,76.47,16.15,68.97,0.31,2.44,46.67,68.57,54.55,41.3,45.45,25.0,3.51,2.78,8.33,16.67,50.0,0.0
bassett0,2936,-40.44,-1.38,-10.11,26.15,21.7,12.19,10.86,76.64,10.14,57.14,0.06,2.27,71.05,46.74,50.0,34.78,47.06,25.0,13.45,14.55,9.09,26.09,33.33,100.0
fishiker,2934,399.88,13.63,99.97,31.19,20.7,23.42,8.83,75.73,5.17,44.83,2.05,1.82,64.5,54.41,52.94,46.75,48.65,28.57,4.79,3.66,6.67,14.29,50.0,100.0
Kirta_88,2931,-304.68,-10.4,-76.17,28.31,22.07,18.26,9.81,64.47,7.33,66.67,0.47,1.91,49.1,60.0,64.29,41.27,55.56,40.0,9.65,4.55,0.0,25.0,0.0,33.33
Anna_violin,2928,-4.32,-0.15,-1.08,19.13,15.52,9.98,9.18,72.67,10.3,56.67,0.8,1.99,55.15,39.47,50.0,53.73,54.55,0.0,9.76,16.98,14.29,0.0,50.0,0.0
TheMahdius,2926,492.96,16.85,123.24,26.43,24.08,8.97,11.45,71.43,7.14,57.69,0.0,2.03,48.04,53.25,73.68,35.29,31.58,50.0,4.82,7.69,9.52,18.18,0.0,100.0
El_Plaza16,2917,-909.48,-31.18,-227.37,36.21,29.77,19.39,14.66,61.51,15.58,51.16,0.0,3.16,83.17,64.49,60.61,26.28,21.43,50.0,28.04,31.11,8.0,40.91,33.33,33.33
Dane777777,2898,-223.24,-7.7,-55.81,37.61,25.36,30.71,13.22,54.19,6.45,53.06,2.48,3.05,68.24,69.07,38.24,50.0,41.67,50.0,15.63,11.11,8.51,21.43,40.0,
Zubayabaya,2894,-431.96,-14.93,-107.99,28.43,21.11,16.88,9.02,77.27,7.62,52.0,1.39,2.13,64.25,33.9,66.67,32.43,46.43,33.33,7.14,8.89,0.0,50.0,83.33,50.0
kaypel,2887,157.32,5.45,39.33,24.9,19.87,12.91,8.75,77.33,4.09,69.23,0.69,2.88,72.14,33.85,38.46,47.95,29.41,16.67,11.11,2.94,8.0,87.5,60.0,
diemdzi,2885,-69.64,-2.41,-17.41,19.46,16.16,9.62,7.71,75.51,14.13,30.77,0.25,2.7,82.69,47.54,27.27,50.85,40.0,0.0,3.51,7.69,9.09,55.56,0.0,50.0
viia1,2885,-595.52,-20.64,-148.88,17.08,15.22,6.13,5.75,82.19,8.57,33.33,0.0,2.68,59.07,53.23,40.0,36.59,71.43,0.0,4.44,4.65,0.0,66.67,40.0,0.0
krum950,2863,-953.32,-33.3,-238.33,27.65,15.48,29.26,2.99,63.68,3.27,62.5,0.91,1.29,32.47,70.59,25.0,30.96,37.29,36.36,16.67,12.5,4.55,33.33,44.44,100.0
Brennybrez,2859,-369.92,-12.94,-92.48,33.8,25.25,21.07,14.31,64.8,7.88,36.84,2.12,4.46,72.4,64.62,42.11,50.0,35.0,83.33,20.0,16.36,7.69,45.0,40.0,
VeNSe,2852,388.44,13.62,97.11,26.75,21.91,11.08,9.36,77.13,6.11,66.67,1.78,1.98,68.78,45.88,68.75,42.5,28.57,50.0,7.22,7.27,2.38,50.0,0.0,0.0
zergmiky,2851,386.92,13.57,96.73,22.29,18.73,9.61,8.65,80.0,7.33,65.52,0.26,2.95,73.02,56.72,54.55,42.86,29.41,100.0,9.64,3.03,0.0,72.73,100.0,0.0
Zapodlist,2850,-387.32,-13.59,-96.83,28.17,21.23,17.41,12.82,66.37,6.45,43.9,1.71,1.88,55.31,52.17,72.73,48.76,42.11,60.0,6.78,3.85,4.76,30.0,,0.0
fwmoneys,2849,-327.96,-11.51,-81.99,27.15,12.0,29.62,4.11,66.17,1.03,45.45,8.41,1.17,35.59,36.36,100.0,37.84,41.27,50.0,5.61,18.84,0.0,0.0,0.0,100.0
boli3333,2849,-494.6,-17.36,-123.65,45.61,18.88,49.59,4.47,46.84,1.8,64.29,12.43,3.33,57.35,70.0,56.0,60.19,46.81,40.0,4.42,10.96,11.9,40.0,62.5,100.0
beefybigbaws,2848,-359.48,-12.62,-89.87,31.35,19.69,25.19,4.0,76.05,2.14,72.73,2.82,1.14,52.5,65.31,18.18,38.25,17.86,40.91,1.89,6.25,2.17,50.0,16.67,
ArThuR_M_SarioL,2843,671.76,23.63,167.94,26.34,19.67,17.98,6.53,63.51,9.8,56.25,0.83,1.56,54.85,47.37,45.45,32.85,46.88,42.86,8.73,13.11,5.56,50.0,0.0,
shakaa01,2841,124.24,4.37,31.06,23.82,17.52,16.63,6.26,76.09,2.76,70.59,0.25,1.92,54.21,43.14,36.36,53.7,39.29,50.0,6.67,1.89,0.0,60.0,0.0,
0valentin,2837,730.28,25.74,182.57,21.09,17.3,9.64,8.29,87.5,5.7,76.47,0.06,2.33,51.17,51.67,42.86,52.63,50.0,0.0,15.84,3.7,8.0,0.0,0.0,
ubermasta,2827,291.0,10.29,72.75,25.7,21.16,13.32,10.4,71.89,8.47,55.56,0.39,1.79,66.14,32.2,33.33,46.6,56.0,25.0,4.5,1.72,8.0,36.36,80.0,50.0
BaboonIRL,2825,446.68,15.81,111.67,26.85,23.33,9.04,9.9,79.11,7.87,50.0,0.83,1.88,48.31,50.0,78.57,25.0,47.83,50.0,9.28,5.45,4.76,43.75,42.86,
RuTJH,2805,-586.4,-20.91,-146.6,23.86,16.86,18.29,5.1,72.87,4.47,52.63,0.9,1.74,63.04,43.14,64.29,31.53,62.86,83.33,7.48,3.51,0.0,40.0,16.67,66.67
shtang86,2801,-447.72,-15.98,-111.93,23.26,18.96,12.5,9.3,72.73,8.96,50.0,0.26,2.27,68.06,52.24,52.94,42.86,47.62,50.0,10.62,10.42,8.7,63.64,25.0,50.0
marshall_gj,2801,-417.16,-14.89,-104.29,34.32,24.59,24.16,11.29,63.09,7.11,53.85,1.38,2.49,72.54,76.4,44.12,43.09,39.47,60.0,9.4,20.0,0.0,53.85,50.0,60.0
gerou21,2798,-1339.6,-47.88,-334.9,36.12,20.21,34.06,6.27,52.28,7.46,39.39,6.84,1.96,70.85,62.5,18.75,38.93,30.51,54.55,13.11,10.0,15.91,58.82,22.22,0.0
Tipfy,2798,262.08,9.37,65.52,27.14,21.91,12.84,9.79,76.1,13.09,69.77,0.59,2.03,67.58,66.15,40.0,35.06,38.1,50.0,13.33,6.9,0.0,50.0,40.0,0.0
Thehighestpeaks,2793,-319.88,-11.45,-79.97,37.27,19.9,35.55,6.62,49.56,6.19,33.33,7.92,1.48,73.79,62.12,65.0,30.56,38.04,40.0,3.08,1.14,7.41,40.0,0.0,
serg160578,2782,-59.84,-2.15,-14.96,18.4,14.14,10.1,5.25,82.58,5.75,66.67,0.86,2.33,44.52,68.18,66.67,51.32,42.86,25.0,1.23,0.0,7.69,50.0,,
slatyslate24,2773,-37.88,-1.37,-9.47,30.41,17.96,31.43,3.29,56.6,1.98,63.16,1.25,1.5,39.39,48.39,40.0,57.51,40.48,50.0,4.55,5.26,0.0,40.0,,66.67
pasha sip,2771,116.76,4.21,29.19,27.76,15.53,19.12,9.87,71.35,12.34,38.89,11.54,2.29,65.33,82.5,60.0,41.23,39.39,22.22,6.19,21.28,8.0,62.5,71.43,0.0
SleepySloth8,2759,6.32,0.23,1.58,19.96,15.86,11.25,8.71,67.18,14.36,40.91,0.27,2.58,74.68,67.44,45.45,34.62,35.71,50.0,17.39,10.0,0.0,25.0,60.0,
Daviddos121,2743,-807.64,-29.44,-201.91,35.71,10.48,41.02,2.93,56.84,3.37,52.63,19.46,1.5,45.0,66.67,,51.41,50.0,71.43,11.27,12.5,0.0,50.0,50.0,
tengounabomb,2743,-1568.6,-57.19,-392.15,34.16,23.15,26.72,8.28,63.22,6.44,48.39,2.02,1.67,58.08,59.68,60.0,38.79,52.17,40.0,8.02,5.88,2.38,77.78,50.0,33.33
Alistarr400,2724,256.92,9.43,64.23,21.17,18.69,8.07,10.01,79.58,7.41,56.52,0.0,1.63,59.12,36.21,63.64,32.69,56.25,33.33,1.43,2.33,7.69,40.0,0.0,
UZY9mm,2719,313.04,11.51,78.26,24.75,20.89,11.04,10.2,76.42,8.46,59.09,0.59,2.82,69.85,25.71,85.71,51.39,82.35,100.0,7.32,6.38,8.33,44.44,100.0,
Huviam,2718,-858.2,-31.57,-214.55,37.96,24.78,30.62,13.46,55.32,3.91,42.42,4.61,1.89,47.01,37.78,66.67,35.48,25.0,36.36,1.5,0.0,12.5,20.0,25.0,75.0
callUmug,2717,-336.16,-12.37,-84.04,18.85,12.01,16.01,3.34,77.11,5.52,60.0,1.77,2.39,76.19,51.11,66.67,46.15,54.55,66.67,3.96,9.09,0.0,44.44,33.33,100.0
iflewWith815,2710,-660.36,-24.37,-165.09,26.49,21.21,15.24,11.73,68.33,6.6,61.76,0.35,1.43,48.83,43.48,0.0,29.13,55.56,66.67,12.63,6.67,5.26,50.0,0.0,
AsterixLT,2708,-682.12,-25.19,-170.53,23.19,15.09,20.2,5.88,72.32,3.03,33.33,0.48,1.62,60.61,63.33,44.44,41.18,50.0,50.0,11.02,5.08,0.0,37.5,50.0,
genius580,2704,-52.64,-1.95,-13.16,27.83,20.63,17.02,7.13,74.88,6.86,75.0,1.96,2.28,48.47,35.71,71.43,42.86,50.0,57.14,12.07,5.66,3.45,44.44,75.0,50.0
profesor0712,2683,-149.8,-5.58,-37.45,23.21,19.49,10.78,7.62,76.74,6.63,60.87,0.34,2.7,66.0,60.32,58.82,43.84,63.64,40.0,12.36,8.33,0.0,26.67,75.0,100.0
Etsgt,2674,399.68,14.95,99.92,23.08,19.06,9.63,8.86,84.34,8.81,72.22,0.14,2.1,50.73,55.81,70.0,26.67,47.37,50.0,12.05,23.68,11.54,41.67,33.33,
canstakes,2670,-1562.88,-58.53,-390.72,23.99,16.94,16.58,7.16,70.49,4.57,43.75,2.92,1.22,44.16,68.29,64.71,46.96,30.0,14.29,3.94,10.17,0.0,16.67,50.0,0.0
marcozolplus,2667,-485.76,-18.21,-121.44,21.89,15.13,17.51,5.5,72.99,2.37,28.57,0.61,2.2,77.78,74.36,33.33,36.84,34.38,100.0,7.37,19.15,0.0,0.0,33.33,100.0
robbuche,2657,423.56,15.94,105.89,25.43,19.48,15.44,8.42,76.84,4.81,66.67,0.28,2.22,77.53,52.86,50.0,44.25,28.57,60.0,12.12,13.33,0.0,25.0,66.67,100.0
LoLtoPokerXD,2639,-443.16,-16.79,-110.79,29.92,26.0,11.6,12.16,71.65,8.99,48.15,0.62,3.16,62.5,53.62,44.44,55.81,30.77,100.0,8.43,10.81,0.0,46.67,80.0,100.0
pmjk,2624,-1586.92,-60.48,-396.73,45.15,27.32,45.3,6.97,34.5,4.62,50.0,0.36,1.31,33.09,70.0,62.5,44.05,23.46,45.0,3.13,5.88,4.55,18.18,33.33,50.0
Jast4Fan95,2608,420.24,16.11,105.06,24.66,21.03,11.27,10.29,72.11,8.24,58.06,0.0,2.11,63.8,60.24,47.62,40.91,47.62,25.0,11.25,15.56,10.53,37.5,50.0,100.0
Tomston111,2602,-483.44,-18.58,-120.86,19.96,10.79,20.85,1.49,76.76,0.72,75.0,1.69,1.12,48.54,71.43,40.0,48.44,45.0,57.14,0.81,11.11,7.69,0.0,0.0,
jwlsm,2599,551.64,21.23,137.91,20.65,16.74,10.13,6.35,80.2,4.98,88.24,0.71,1.57,38.99,35.48,0.0,46.03,34.78,37.5,10.14,11.76,5.26,66.67,0.0,
Qeqis,2592,-244.32,-9.43,-61.08,35.31,16.68,30.23,5.69,70.54,4.81,75.0,12.8,2.32,53.85,61.76,50.0,35.16,63.64,25.0,18.56,6.76,0.0,28.57,37.5,
Wiki-Stu,2590,-446.12,-17.22,-111.53,18.21,8.69,12.33,2.43,89.36,1.44,85.71,8.13,6.87,68.93,62.07,71.43,74.0,100.0,,3.51,5.88,0.0,0.0,50.0,
NcFcGoldy96,2579,652.6,25.3,163.15,21.14,17.26,9.96,8.57,81.56,7.43,38.46,0.55,2.43,63.13,48.72,55.56,40.35,33.33,50.0,7.81,11.76,4.35,45.45,0.0,
Mogli224,2570,-33.6,-1.31,-8.4,28.98,17.05,25.12,5.87,70.88,5.71,40.0,3.3,3.13,63.69,43.48,30.77,50.0,33.33,50.0,12.17,2.7,3.57,66.67,66.67,
Kosmoool,2563,-31.36,-1.22,-7.84,28.34,9.2,26.86,3.33,83.87,3.33,57.14,16.86,1.82,61.33,76.92,20.0,34.67,47.62,25.0,14.93,14.29,18.52,27.27,42.86,100.0
brnq,2542,72.12,2.84,18.03,32.84,19.08,28.67,7.53,72.09,1.92,76.0,4.09,1.69,58.16,43.33,55.56,31.41,41.51,53.85,3.65,5.75,7.14,36.36,66.67,0.0
Agarovshen,2539,-1354.84,-53.36,-338.71,43.79,36.62,19.97,19.6,66.31,3.76,64.0,0.93,2.38,68.17,41.67,30.77,24.24,51.28,50.0,18.8,6.9,6.98,33.33,60.0,100.0
baabreu95,2534,-57.6,-2.27,-14.4,24.26,21.73,8.14,10.43,77.53,7.69,68.0,0.07,3.52,74.87,33.75,58.33,21.15,60.0,50.0,41.94,13.33,5.26,30.0,75.0,50.0
osolemio341,2522,606.6,24.05,151.65,34.78,21.21,30.6,9.62,55.28,5.91,65.22,3.97,2.71,56.31,43.24,28.57,24.22,53.13,50.0,21.48,4.88,6.45,46.15,40.0,50.0
Patoluc1515,2510,-361.52,-14.4,-90.38,32.32,5.13,40.06,1.46,81.05,2.92,15.38,22.02,2.02,63.46,64.71,33.33,36.16,38.6,50.0,13.1,7.55,6.9,16.67,100.0,0.0
alexia0818,2505,-433.84,-17.32,-108.46,25.7,17.71,18.62,9.14,73.96,8.64,41.67,1.46,2.09,73.03,62.5,36.84,30.0,42.42,100.0,1.32,8.0,5.88,25.0,66.67,50.0
matrogen,2503,696.36,27.82,174.09,26.75,23.22,10.18,10.58,80.6,8.95,58.06,0.07,2.9,89.45,49.46,71.43,32.79,22.22,0.0,10.71,8.89,10.53,54.55,0.0,50.0
TanoVerstra,2499,68.24,2.73,17.06,26.3,22.15,12.49,11.59,74.04,9.09,58.33,0.0,2.71,56.25,49.21,62.5,34.57,46.67,20.0,19.77,7.89,4.76,36.36,33.33,
Citadhell,2497,-575.88,-23.06,-143.97,34.15,18.85,31.97,6.85,64.32,4.21,23.08,5.76,1.19,58.82,46.15,46.15,30.6,31.15,69.23,5.44,8.99,5.0,40.0,33.33,50.0
Dima Jetta,2496,-1248.16,-50.01,-312.04,28.77,22.7,15.18,13.26,68.21,11.25,34.21,0.98,3.08,68.04,64.71,61.9,40.86,46.67,66.67,16.44,0.0,12.9,20.0,50.0,0.0
DaBLAM777,2483,-234.72,-9.45,-58.68,23.84,17.8,15.38,9.03,66.27,8.59,42.86,1.86,3.3,78.38,45.0,40.0,33.71,38.89,75.0,20.69,11.76,0.0,33.33,0.0,
mouleonoz,2479,-638.8,-25.77,-159.7,46.68,29.54,45.02,7.26,33.46,4.64,52.0,0.75,3.46,43.17,82.14,73.68,33.73,30.91,57.14,25.41,17.57,8.0,50.0,33.33,62.5
HappyMSR,2473,-331.2,-13.39,-82.8,27.99,19.92,21.76,8.5,68.6,9.64,22.22,0.07,1.47,54.01,75.0,45.83,20.9,30.61,12.5,4.27,15.38,6.67,16.67,0.0,
iwannacha,2473,-6.28,-0.25,-1.57,28.27,22.1,15.41,8.28,72.08,6.0,60.0,1.18,1.41,48.71,48.44,35.29,29.0,32.14,50.0,8.49,17.19,6.06,0.0,0.0,100.0
DavW000,2470,-139.36,-5.64,-34.84,17.16,10.17,13.94,3.34,83.92,2.84,37.5,2.82,0.96,2.41,0.0,,47.06,58.33,50.0,0.0,0.0,0.0,,,0.0
archangel400,2467,-205.72,-8.34,-51.43,37.94,10.97,43.8,4.62,55.83,7.74,37.5,19.92,2.26,69.33,40.0,33.33,41.26,44.44,21.43,4.59,8.79,7.32,40.0,33.33,25.0
VouxZ,2465,384.24,15.59,96.06,21.11,18.95,5.73,7.82,84.02,7.98,81.25,0.08,4.06,77.05,39.71,60.0,60.61,0.0,,5.88,10.53,0.0,69.23,0.0,100.0
Fortune c366,2459,-1129.0,-45.91,-282.25,35.39,14.42,33.01,5.96,79.89,2.31,50.0,14.65,1.7,73.19,66.67,38.46,38.71,47.37,69.23,5.76,3.57,9.09,63.64,80.0,0.0
Turbobuxe1897,2457,-420.04,-17.1,-105.01,24.53,20.59,10.43,10.75,79.46,7.14,64.0,0.74,2.18,59.06,44.64,54.55,47.44,56.25,0.0,14.47,2.44,4.76,75.0,0.0,100.0
trang670,2455,-999.08,-40.7,-249.77,38.32,22.52,37.66,4.07,53.02,5.99,50.0,3.01,2.01,79.38,32.05,33.33,30.04,46.03,28.57,15.51,6.15,9.09,54.55,0.0,50.0
pufff007,2453,71.8,2.93,17.95,23.92,20.84,8.29,9.05,81.12,9.47,73.68,0.22,2.58,58.24,37.93,80.0,57.14,20.0,100.0,9.38,5.41,25.0,37.5,0.0,33.33
Feremp,2445,-280.28,-11.46,-70.07,22.56,14.2,17.21,3.54,89.47,4.14,14.29,1.31,2.4,69.42,56.52,52.63,47.42,45.0,33.33,7.61,8.33,0.0,60.0,100.0,50.0
Maxim_Otto13,2445,-194.4,-7.95,-48.6,22.61,15.7,17.17,6.12,76.51,3.18,71.43,0.3,2.23,60.15,53.49,41.67,48.51,77.78,0.0,11.46,0.0,0.0,75.0,33.33,
HabsFever,2442,-117.24,-4.8,-29.31,22.62,16.17,15.18,8.39,74.47,8.09,47.37,1.35,2.47,66.23,70.21,66.67,51.35,66.67,50.0,12.33,5.26,0.0,33.33,75.0,100.0
