all-in_adj_bb_100,vpip,pfr,call_any_pfr,3bet_pf,fold_to_3bet,4bet_pf,fold_to_4bet+,limp,total_af,cbet_f,cbet_t,cbet_r,fold_to_f_cbet,fold_to_t_cbet,fold_to_r_cbet,xr_flop,xr_turn,xr_river,fold_to_f_xr,fold_to_t_xr,fold_to_r_xr
0.08,15.42,12.33,8.82,5.91,80.11,4.43,59.13,0.22,1.15,45.66,42.52,42.31,44.61,56.94,33.33,4.13,4.7,3.08,27.27,0.0,0.0
9.16,21.13,17.65,9.59,8.51,77.06,7.22,59.0,0.56,2.57,62.68,62.48,58.25,37.4,40.54,45.16,9.01,8.66,7.1,38.24,57.69,41.67
-2.89,20.99,16.49,10.58,6.52,77.58,10.41,51.45,1.25,1.67,45.45,59.73,58.82,44.44,41.92,64.71,6.83,6.18,4.35,22.92,25.0,90.0
8.31,27.31,22.4,12.75,10.38,77.58,5.01,66.13,0.78,1.88,57.31,38.45,45.07,40.9,45.37,57.41,7.3,5.71,3.78,50.49,44.0,60.0
-1.75,21.81,17.43,11.32,7.93,79.43,6.27,61.66,0.63,1.9,56.02,67.62,40.5,44.28,30.0,41.18,7.22,8.73,3.93,44.0,52.94,42.86
-1.33,21.69,16.54,10.46,5.83,85.25,7.77,74.81,1.57,2.56,48.14,35.03,41.86,50.1,49.49,53.33,8.47,7.33,1.52,64.86,52.94,0.0
3.48,20.92,17.76,8.83,8.56,81.34,6.76,71.83,0.06,2.4,60.31,69.43,59.24,41.49,31.03,34.38,10.92,9.44,4.19,50.94,66.67,44.44
3.78,23.2,18.71,12.35,9.01,75.91,6.64,62.04,0.3,2.48,57.44,64.55,60.24,51.38,40.25,48.57,5.53,9.3,6.07,45.21,46.67,88.89
2.13,24.15,20.61,9.05,8.93,81.53,7.01,70.09,0.38,2.53,54.67,49.23,54.05,55.29,44.32,44.44,7.29,4.75,4.57,40.66,52.94,90.0
-0.37,29.55,19.77,21.78,4.54,73.54,5.03,74.13,2.42,1.56,55.4,42.41,54.26,41.83,44.19,56.16,4.68,2.86,0.0,25.4,42.11,57.14
1.63,28.84,23.89,11.97,13.14,71.23,10.76,60.51,2.07,3.21,74.53,54.96,48.42,37.91,43.13,40.63,12.85,4.9,0.8,49.48,60.42,60.0
-1.92,20.69,16.97,10.22,7.75,78.16,7.77,75.36,0.23,2.42,58.86,47.11,46.67,45.54,47.69,64.29,3.95,10.71,6.85,50.82,75.0,60.0
-3.22,31.03,26.16,13.66,15.19,70.18,12.49,60.33,0.33,3.08,63.42,64.78,53.53,42.56,37.65,51.22,14.68,11.99,13.07,44.58,44.44,50.0
0.68,23.01,19.4,9.81,9.23,78.84,8.63,59.67,0.74,2.13,57.32,43.64,53.33,38.67,48.87,48.39,10.09,5.6,2.09,42.86,25.0,50.0
-3.73,22.96,15.72,19.0,5.93,72.9,3.3,54.78,0.51,1.36,65.34,60.99,41.67,37.98,41.69,56.96,1.51,5.43,2.98,33.33,28.57,12.5
-7.32,21.96,18.01,10.92,8.16,78.23,8.63,59.3,0.14,2.64,57.76,58.59,49.15,48.56,37.9,40.0,10.47,6.25,6.55,41.56,40.0,66.67
4.52,25.49,21.92,10.77,11.08,76.14,8.83,58.78,0.02,1.98,59.38,36.22,65.0,37.73,46.55,41.46,9.55,9.87,2.82,23.66,34.62,50.0
-2.6,24.17,19.8,11.69,9.92,77.72,7.57,58.65,0.42,2.59,68.74,55.23,58.39,44.05,39.04,57.5,9.91,10.17,5.67,46.99,37.84,66.67
2.02,20.97,17.26,9.54,7.15,78.65,7.41,69.8,0.44,2.77,67.23,48.33,59.49,48.38,48.65,40.91,7.52,4.41,5.79,41.3,59.09,100.0
6.47,27.69,21.41,16.77,9.45,67.06,10.49,59.67,0.63,2.0,60.67,51.4,42.41,39.74,40.74,43.24,8.99,8.75,1.09,33.33,50.0,71.43
-3.24,33.63,27.26,18.68,15.5,61.77,10.21,45.17,0.31,2.14,67.38,44.43,50.0,39.47,34.65,53.33,13.76,8.74,6.15,26.17,40.43,42.86
6.77,22.17,18.26,10.35,7.42,76.8,10.58,61.49,0.34,2.44,56.62,59.32,66.33,37.47,50.38,30.43,7.55,7.04,2.48,43.64,50.0,60.0
12.47,20.82,16.91,9.54,6.83,86.33,6.62,57.48,0.23,2.01,65.05,43.29,62.67,46.96,46.62,54.55,6.3,7.01,9.74,47.37,17.65,83.33
-2.35,20.44,15.68,12.47,6.83,77.16,4.89,59.69,0.81,1.85,71.86,37.31,37.1,46.97,46.55,71.43,5.27,8.65,6.34,45.78,46.15,100.0
-0.2,25.34,20.76,12.26,9.17,78.34,6.9,65.63,0.31,1.88,65.67,39.89,54.88,45.47,52.03,37.5,8.31,6.77,6.84,39.8,63.16,37.5
6.23,24.35,18.86,13.0,7.95,80.51,7.73,60.37,0.9,1.93,51.95,49.45,64.18,42.31,45.34,39.39,8.42,9.15,8.13,59.15,36.0,62.5
-5.5,21.38,18.33,10.26,10.6,69.5,5.76,58.49,0.07,1.61,44.11,51.81,29.79,54.46,37.39,54.55,6.82,4.07,4.81,37.5,50.0,33.33
0.44,23.57,17.72,13.52,7.17,76.22,5.83,60.14,1.76,1.73,56.93,42.86,47.22,53.57,53.1,52.17,4.48,3.19,0.89,45.95,10.0,28.57
-1.52,20.76,16.85,9.25,8.5,80.66,5.14,53.09,1.43,2.81,67.37,55.9,30.1,53.8,36.84,25.81,5.44,6.69,2.38,27.85,55.56,33.33
-3.37,21.31,18.29,8.96,7.51,77.71,6.94,60.81,0.13,2.32,51.87,39.75,58.33,52.5,50.83,62.5,6.84,8.52,5.84,29.31,50.0,75.0
5.68,23.19,18.74,12.04,7.39,80.0,5.57,56.49,0.25,2.01,52.65,53.13,51.76,47.24,38.73,55.26,6.59,8.42,2.66,54.24,53.85,50.0
8.54,32.84,25.95,18.69,14.01,68.09,7.81,40.57,0.34,2.22,70.88,58.05,51.52,37.61,32.0,41.27,13.5,10.26,3.4,34.26,27.27,72.73
-0.48,27.38,22.1,15.24,9.85,67.05,8.74,60.58,0.18,3.07,65.54,56.02,43.81,36.18,50.92,74.07,14.93,15.44,8.16,43.59,48.84,54.55
-3.5,26.81,21.29,15.15,11.66,69.77,7.08,53.36,0.82,1.95,46.61,71.13,64.57,48.98,38.92,51.06,6.72,4.88,5.13,33.93,32.26,50.0
-0.55,22.18,16.4,14.23,7.06,74.51,8.62,56.93,1.02,1.27,50.47,53.25,43.64,38.0,36.36,64.58,7.69,7.14,6.11,21.21,26.32,80.0
-4.32,23.33,20.31,8.5,10.48,81.7,8.71,68.66,0.0,2.19,67.13,36.46,67.07,34.82,37.88,42.5,15.98,5.17,7.56,49.4,53.33,80.0
-2.59,25.98,19.18,16.49,7.25,74.28,7.77,68.87,0.95,1.84,54.32,39.85,49.28,47.76,47.57,57.5,7.63,5.75,0.96,28.21,70.59,40.0
-2.43,23.77,18.24,14.1,9.07,73.91,8.87,52.45,0.76,1.95,60.07,59.1,55.81,46.67,33.33,35.71,9.73,8.72,5.63,32.14,45.45,22.22
8.77,20.47,17.01,9.32,7.02,81.97,6.69,69.05,0.17,1.76,60.49,32.08,56.52,50.63,30.53,35.71,6.21,8.0,6.13,40.0,23.08,50.0
1.68,26.79,22.61,13.33,10.97,68.97,8.08,55.4,0.2,2.56,71.43,49.66,75.44,39.91,39.08,35.14,11.7,8.05,6.08,35.94,33.33,70.59
-3.08,21.86,17.07,12.6,6.49,80.39,6.26,61.11,0.03,1.67,62.67,46.44,46.84,39.2,53.63,65.0,5.08,4.57,3.61,38.46,47.37,66.67
-4.47,25.96,21.04,13.85,10.68,70.66,8.51,63.24,0.33,2.0,59.11,46.96,56.47,42.49,32.12,41.18,11.48,14.77,6.19,19.3,61.9,54.55
8.81,27.13,23.18,11.57,11.7,74.98,5.56,78.54,0.26,2.65,68.42,42.29,52.08,54.28,53.79,42.31,3.29,4.71,1.79,60.42,52.17,100.0
-3.33,23.37,19.25,11.57,9.68,75.21,8.15,55.72,0.42,1.76,50.04,58.02,62.69,47.73,40.15,35.48,6.26,6.61,5.14,33.33,50.0,70.0
-14.75,19.27,12.17,17.37,4.38,79.1,3.68,63.04,0.59,1.85,50.39,51.6,58.62,47.19,65.0,63.33,7.54,2.29,1.33,16.13,26.67,33.33
16.16,22.95,19.48,9.64,9.69,74.12,9.11,58.29,0.53,2.65,59.51,55.85,64.04,43.1,33.98,52.0,16.18,12.41,3.1,37.31,42.31,37.5
1.84,20.46,18.43,5.98,8.03,85.34,5.02,80.25,0.1,4.26,79.83,51.93,38.17,39.53,58.0,63.64,16.08,2.26,4.81,61.54,61.9,50.0
2.49,23.27,18.91,10.58,8.97,78.55,8.92,60.81,0.86,2.74,68.01,46.34,48.31,47.89,36.96,66.67,10.3,6.34,3.29,50.54,65.22,40.0
2.55,20.14,17.2,7.56,8.12,86.36,6.09,72.37,0.06,2.34,70.82,41.97,49.25,46.63,49.51,63.33,7.88,4.15,3.57,47.37,50.0,100.0
